@RELATION Parrot

@ATTRIBUTE text STRING
@ATTRIBUTE @@class@@ {love, joy, surprise, anger, sadness, fear}

@DATA
"Layin n bed with a headache  ughhhh...waitin on your call...",sadness
"Funeral ceremony...gloomy friday...",sadness
"wants to hang out with friends SOON!",joy
"Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends",fear
"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!",sadness
"Hmmm. http://www.djhero.com/ is down",fear
"@charviray Charlene my love. I miss you",sadness
"@kelcouch I'm sorry  at least it's Friday?",sadness
"Choked on her retainers",fear
"Ugh! I have to beat this stupid song to get to the next  rude!",sadness
"@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol",sadness
"Got the news",surprise
"The storm is here and the electricity is gone",sadness
"@annarosekerr agreed",love
"So sleepy again and it's not even that late. I fail once again.",sadness
"@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know",fear
"How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend",sadness
"@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too",fear
"Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore",joy
"I ate Something I don't know what it is... Why do I keep Telling things about food",fear
"so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.",sadness
"On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old",fear
"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!",sadness
"Damm servers still down  i need to hit 80 before all the koxpers pass me",fear
"Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!",sadness
"I HATE CANCER. I HATE IT I HATE IT I HATE IT.",fear
"It is so annoying when she starts typing on her computer in the middle of the night!",anger
"@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?",sadness
"I need skott right now",fear
"mmm much better day... so far! it's still quite early. last day of #uds",joy
"@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform",joy
"just picked up her Blackberry from the middle of the street! Both she and it are crushed!",fear
"Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...",fear
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now",fear
"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",fear
"I'm having a problem with my photo here in twitter amf!!!...can't see my face!",sadness
"why am i so tired?",fear
"sucks not being able to take days off of work or have the money to take the trip  so sad",fear
"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",joy
"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.",sadness
"@itsgabbith at once haha.  poor aby still gets sore!",fear
"diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.",sadness
"I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;",sadness
"@Pokinatcha  in all honesty...pain   blech.",sadness
"Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...",sadness
"@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.",fear
"@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol",sadness
"So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin",fear
"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.",joy
"...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'",fear
"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",fear
"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",joy
"is sad that shin ae got married...and it wasn't to alex",fear
"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.",fear
"@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?",sadness
"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",sadness
"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",fear
"@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia",sadness
"fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw",fear
"dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code",anger
"@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you",fear
"I can't sleep...I keep thinking about the puppy I played with today",fear
".. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh",fear
"Last one month due to summer, strawberry is not availble in the Chennai markets!",fear
"@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha",love
"@sweeetnspicy hiii im on my ipod...i cant fall asleep",sadness
"dont wanna work 11-830 tomorrow  but i get paid",sadness
"feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux",sadness
"@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS",anger
"First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )",fear
"@mrgenius23 You win ... SIGH Rakeem",anger
"Darn these allergies! I don't like this time of year because of this! I never used to have this problem either",sadness
"Oh no one minute too late! Oh well",fear
"@soviet_star Damn, that sucks",anger
"@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS",sadness
"@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up",anger
"ahh! big scary bug flying around my room!!!!!",fear
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!",sadness
"is up with a nasty cough i cant be sick i have a huge weekend ahead of me",fear
"i'm so tired",sadness
"@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!",sadness
"Allergies suck ducks nuts.     &lt;=====8@8=====&gt;",sadness
"@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku",anger
"@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...",love
"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.",fear
"@britblackbird  youstinkatrespondingtotexts!",anger
"wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54",sadness
"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.",joy
"Is miserable  i feel like im gona cry  sux!",sadness
"$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one",fear
"Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.",love
"*sigh* I'm going to bed... I just don't feel right anymore...",sadness
"Now I am depressed after watching so you think you can dance",sadness
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh",sadness
"I cant sleep, but im too sore to move",fear
"Achieving a new appreciation on how a xml build script can really be painful and cumbersome",fear
"@omfgiselle i cant do anything",fear
"I'm at work",joy
"RIP leonardo. You were a great mini fiddler crab",joy
"Last day working for the Uni today, sad times",sadness
"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far",love
"My head hurts so bad I could scream!",fear
"i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain",fear
"New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice",fear
"New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...",fear
"oh men!!!!!!......I really can't see my face........c'mon guys!!!",fear
"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old",fear
"my sole supporter is not my sole supporter",fear
"don't you hate it when you finish all your work and there's still 1.25 hours left of work time",anger
"@Emilyyy16 urgh stop it guys",fear
"is still missing her husband.    I really want him home.",sadness
"I miss my puppy",sadness
"2 days of this month left, and I only have 400MB left on my onpeak downloads.",surprise
"@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.",joy
"@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)",sadness
