sadness	Stuck at work! Stuck at work! I'm hungry.
fear	The phones are lit up like christmas trees. Go to work people. You don't have to get everything done on monday.
anger	@MissNikkiC I kno I kknow ... sigh... been on. but it sux
joy	@EvilGayTwin I hope you like your new sat nav
surprise	@Jennettemccurdy http://twitpic.com/4uy8l - LOL  why are they drumming there?
fear	@drsteggy The evidently didn't have any of the smaller ones   I will keep looking.  I got a keen thing though for $7 that should do...
joy	@SamWilson1 - sigh
fear	I quite like baseball and bball oh and the odd gridiron match that a tiny tiny part of the worlds population calls football
joy	Discovered @AlliWorthington and @whoisTodd are sharing on G reader with me and didn't even know it. Sigh.... I'm such a G reader newb.
joy	@breporter Thanks so much for following! The Muse has much gratitude and wishes you a magnificent &amp; productive start to your day!
fear	@chantelmybell  that's no bueno...hope u feel better!
fear	Momz rubz it in tht im NOT goin to the musiq soulchild contest. How RUDE!
surprise	fuck everything
sadness	R.i.p. to my lil sis's cousins babyfather Jimmy aka GemStar
sadness	Just started raining in earnest... guess golf is off for today...
fear	@kaybob23 too bad i dont have either
joy	@DavidArchie I'm watching some of your videos in YouTube. You're funny David.  Oh and TALENTED of course!
fear	Every pair of jeans I own nowadays is very tight.  I think mah butt gettin big (oh!)
sadness	Having one of my bad days....Migraine today. My 1st since my neck surgery about 2 1/2 months
sadness	Frustrated with copying 13Gigs across USB 1.1.Stupid old servers
joy	they were actually there omg apparently a relative of marc went to my school lol
joy	@josemarques I don't feel like having to reboot  If only OSX supported Hibernate &amp; Reboot in Bootcamp... -.-
sadness	@SodaKan sorry to hear about the wait list
fear	Ugh I'm so sleepy  I think I'm still kinda sick
fear	Is trying to buy a new bible...but they just aren't the same...why did my dogs have to chew it up?
sadness	@Saresa And I feel your pain.
surprise	Sometimes I could swear I really am insane.
sadness	Finishiing up the Training Exercise in New mexico..  Not looking forward to the 19 hour bus ride home this weekend.
sadness	is still sick  sigh
fear	@rvca i had a blast at the sale today! had one pair of cords mis sized tho  but still worth it! might come back tomorrow! thankssss
fear	ARG! Eirtaku got hit by stupid bots. So much porn on a kid friendly site.
sadness	Omg guys my internet has been down the whole day  It's still not working  I'll try fix 2m
joy	It's Raining!
fear	its so hard to get mum to answer the phone!! happy mothers day to her anyways..
joy	@pricelessrock i'm doing good. i enjoy the rain  i hope you are well too.
