sentiment,content
sadness,Layin n bed with a headache  ughhhh...waitin on your call...
sadness,Funeral ceremony...gloomy friday...
joy,wants to hang out with friends SOON!
fear,Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends
sadness,I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous!
fear,Hmmm. http://www.djhero.com/ is down
sadness,@charviray Charlene my love. I miss you
sadness,@kelcouch I'm sorry  at least it's Friday?
fear,Choked on her retainers
sadness,Ugh! I have to beat this stupid song to get to the next  rude!
sadness,@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol
surprise,Got the news
sadness,The storm is here and the electricity is gone
love,@annarosekerr agreed
sadness,So sleepy again and it's not even that late. I fail once again.
fear,@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know
sadness,How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend
fear,@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too
joy,Wondering why I'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore
fear,I ate Something I don't know what it is... Why do I keep Telling things about food
sadness,so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.
fear,On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
sadness,@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!
fear,Damm servers still down  i need to hit 80 before all the koxpers pass me
sadness,Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!
fear,I HATE CANCER. I HATE IT I HATE IT I HATE IT.
anger,It is so annoying when she starts typing on her computer in the middle of the night!
sadness,@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?
fear,I need skott right now
joy,mmm much better day... so far! it's still quite early. last day of #uds
joy,@DavidArchie &lt;3 your gonna be the first  twitter ;) cause your amazing lol. come to canada  would do anything to see you perform
fear,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
fear,Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...
fear,Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now
fear,@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also
sadness,I'm having a problem with my photo here in twitter amf!!!...can't see my face!
fear,why am i so tired?
fear,sucks not being able to take days off of work or have the money to take the trip  so sad
joy,bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to
sadness,@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.
fear,@itsgabbith at once haha.  poor aby still gets sore!
sadness,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.
sadness,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
sadness,@Pokinatcha  in all honesty...pain   blech.
sadness,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
fear,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.
sadness,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol
fear,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin
joy,So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.
fear,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him'
fear,Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water
joy,@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?
fear,is sad that shin ae got married...and it wasn't to alex
fear,@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.
sadness,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?
sadness,@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.
fear,goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..
sadness,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia
fear,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw
anger,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
fear,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you
fear,I can't sleep...I keep thinking about the puppy I played with today
fear,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh
fear,Last one month due to summer, strawberry is not availble in the Chennai markets!
love,@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha
sadness,@sweeetnspicy hiii im on my ipod...i cant fall asleep
sadness,dont wanna work 11-830 tomorrow  but i get paid
sadness,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
anger,@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
fear,First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )
anger,@mrgenius23 You win ... SIGH Rakeem
sadness,Darn these allergies! I don't like this time of year because of this! I never used to have this problem either
fear,Oh no one minute too late! Oh well
anger,@soviet_star Damn, that sucks
sadness,@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS
anger,@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up
fear,ahh! big scary bug flying around my room!!!!!
sadness,I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!
fear,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
sadness,i'm so tired
sadness,@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!
sadness,Allergies suck ducks nuts.     &lt;=====8@8=====&gt;
anger,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
love,@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund...
fear,@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it.
anger,@britblackbird  youstinkatrespondingtotexts!
sadness,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
joy,Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho.
sadness,Is miserable  i feel like im gona cry  sux!
fear,$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one
love,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
sadness,*sigh* I'm going to bed... I just don't feel right anymore...
sadness,Now I am depressed after watching so you think you can dance
sadness,Just cross 'cause I'm stuck twiddling my thumbs now, ugh
fear,I cant sleep, but im too sore to move
fear,Achieving a new appreciation on how a xml build script can really be painful and cumbersome
fear,@omfgiselle i cant do anything
joy,I'm at work
joy,RIP leonardo. You were a great mini fiddler crab
sadness,Last day working for the Uni today, sad times
love,@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far
fear,My head hurts so bad I could scream!
fear,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain
fear,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice
fear,New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...
fear,oh men!!!!!!......I really can't see my face........c'mon guys!!!
fear,I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old
fear,my sole supporter is not my sole supporter
anger,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
fear,@Emilyyy16 urgh stop it guys
sadness,is still missing her husband.    I really want him home.
sadness,I miss my puppy
surprise,2 days of this month left, and I only have 400MB left on my onpeak downloads.
joy,@IdleThumbs Up is out?  I didn't get the memo   It looks amazing.
sadness,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
fear,Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?
sadness,@BarbSchaefer yearling in pet home died... very sad for their whole family
fear,I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!
sadness,@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong.
fear,is feeling sad... for some reason..  http://plurk.com/p/wxji3
sadness,well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.
sadness,just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad
fear,@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards
joy,@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?
joy,@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay
sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them.
fear,@jertronic it wont let me
sadness,Took a shift tomorrow.    I don't really feel like working right now.
sadness,but now i have no money for a phone
fear,Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.
fear,@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything
surprise,@Bern_morley where are you? In Bris? I can't hear any thunder
surprise,bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!
sadness,Too bad the Red Devils.. disappointing to say the least
surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up
sadness,@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz).
surprise,when da heck will the garage man get here I ask you.. WHEN..
fear,Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff
anger,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
fear,why are plane tickets so expensive
joy,(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
fear,Needs a job BADLY!!!
sadness,@AlexanderGWhite daaammmnnnnn I do wish I was there.
fear,Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb
sadness,@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner
sadness,is a bad friend
anger,@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin
anger,would wish the severe migrains would stop!!! doc's prescriptions arent working
love,@bobbyedner i missed the game
sadness,@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby
anger,@tiffalo cuz airlines are super lame.
sadness,@lenje - Still a pity it comes with no lamb though
sadness,@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.
joy,is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat
anger,I'm so very tired...and have insomnia.
anger,I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation.
fear,people in my house do not know how to close doors
surprise,Why am I completing facebook quizzes at this time of the morning... especially a friday morning
fear,@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death
sadness,Had to cancel wow for now
fear,wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio
sadness,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
fear,It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO.
fear,@__sugar oh no  i am always here ;) &lt;3
joy,took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.
joy,omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go
sadness,Up late with nothin 2 do.....
fear,i think the vog is making me sicker than i think. feeling slightly achy
fear,i am doing homework it sux big time maths is the worst!!!!!!
sadness,sometimes i wish things could go back to the way they were the beginning of last summer
fear,I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't
sadness,@kateisbored I feel the same way, but I guess no matter where you are there will always be memes.
joy,I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more
fear,i'm sooooooooooooo confused
fear,Work day 7 of 7,
joy,Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks
fear,@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban
sadness,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
surprise,@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today
anger,I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
fear,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
surprise,@FoxxFiles aw u can't let me in on the secret!
surprise,@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like.
fear,no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ...
anger,i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers.
anger,Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!
fear,@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz
sadness,Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol
sadness,It's pissing me off and not letting me follow ericka
sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....
sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.
surprise,is thinking so much and i'm at work
fear,I have forgot the live with the Jonas Brothers on Facebook
sadness,I haven't seen Muffin in two whole days!
sadness,@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...
surprise,my gap year is going so quick
fear,I have to admit, I'm a bit bummed out that I wasn't with my friends walking today....
fear,my twitter has been hacked again
sadness,Just found mj mouse flats at DJs. Of course there are none left in my size
anger,@lanacaitlin  hahaha well its try its so ugly
fear,@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you
joy,@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though
surprise,@qi_tah oh no.  *hugs*
sadness,@xoshayzers i knoww  things won't be the samee &lt;/3
fear,OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat.
joy,@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me
fear,Okay, so twitter suddenly changed, how do I respond to messages now
fear,Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!
